✅ Fetched 25850 candles total
✅ Loaded 25850 candles

🚀 Running 480 backtests in parallel...
   • Greedy Momentum: 3 periods × 4 patience × 4 margins
   • Greedy EMA Cross: 3 EMA pairs × 4 patience × 4 margins
   • 96 strategy configurations × 5 loss tolerances = 480 total tests

🚀 Running 480 backtests in parallel...


✅ All tests complete!

  [134/480] GreedyMom(p=14, patience=576, margin=0.75%) @ 1.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [135/480] GreedyMom(p=14, patience=576, margin=0.75%) @ 2.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [136/480] GreedyMom(p=14, patience=576, margin=1.0%) @ 0.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [137/480] GreedyMom(p=14, patience=576, margin=1.0%) @ 0.10% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [138/480] GreedyMom(p=14, patience=576, margin=1.0%) @ 0.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [139/480] GreedyMom(p=14, patience=576, margin=1.0%) @ 1.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [140/480] GreedyMom(p=14, patience=576, margin=1.0%) @ 2.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [141/480] GreedyMom(p=14, patience=1152, margin=0.3%) @ 0.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [142/480] GreedyMom(p=14, patience=1152, margin=0.3%) @ 0.10% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [143/480] GreedyMom(p=14, patience=1152, margin=0.3%) @ 0.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [144/480] GreedyMom(p=14, patience=1152, margin=0.3%) @ 1.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [145/480] GreedyMom(p=14, patience=1152, margin=0.3%) @ 2.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [146/480] GreedyMom(p=14, patience=1152, margin=0.5%) @ 0.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [147/480] GreedyMom(p=14, patience=1152, margin=0.5%) @ 0.10% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [148/480] GreedyMom(p=14, patience=1152, margin=0.5%) @ 0.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [149/480] GreedyMom(p=14, patience=1152, margin=0.5%) @ 1.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [150/480] GreedyMom(p=14, patience=1152, margin=0.5%) @ 2.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [151/480] GreedyMom(p=14, patience=1152, margin=0.75%) @ 0.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [152/480] GreedyMom(p=14, patience=1152, margin=0.75%) @ 0.10% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [153/480] GreedyMom(p=14, patience=1152, margin=0.75%) @ 0.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [154/480] GreedyMom(p=14, patience=1152, margin=0.75%) @ 1.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [155/480] GreedyMom(p=14, patience=1152, margin=0.75%) @ 2.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [156/480] GreedyMom(p=14, patience=1152, margin=1.0%) @ 0.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [157/480] GreedyMom(p=14, patience=1152, margin=1.0%) @ 0.10% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [158/480] GreedyMom(p=14, patience=1152, margin=1.0%) @ 0.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [159/480] GreedyMom(p=14, patience=1152, margin=1.0%) @ 1.00% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [160/480] GreedyMom(p=14, patience=1152, margin=1.0%) @ 2.50% loss → APY_USD: 0.0%, Trades: 1, Rejected: 0B/0S
  [161/480] GreedyMom(p=20, patience=144, margin=0.3%) @ 0.00% loss → APY_USD: 16.3%, Trades: 13, Rejected: 0B/0S
  [162/480] GreedyMom(p=20, patience=144, margin=0.3%) @ 0.10% loss → APY_USD: 16.3%, Trades: 13, Rejected: 0B/0S
  [163/480] GreedyMom(p=20, patience=144, margin=0.3%) @ 0.50% loss → APY_USD: 4.2%, Trades: 3, Rejected: 0B/0S
  [164/480] GreedyMom(p=20, patience=144, margin=0.3%) @ 1.00% loss → APY_USD: 4.2%, Trades: 3, Rejected: 0B/0S
  [165/480] GreedyMom(p=20, patience=144, margin=0.3%) @ 2.50% loss → APY_USD: -18.6%, Trades: 11, Rejected: 0B/0S
  [166/480] GreedyMom(p=20, patience=144, margin=0.5%) @ 0.00% loss → APY_USD: 18.6%, Trades: 13, Rejected: 0B/0S
  [167/480] GreedyMom(p=20, patience=144, margin=0.5%) @ 0.10% loss → APY_USD: 18.6%, Trades: 13, Rejected: 0B/0S
  [168/480] GreedyMom(p=20, patience=144, margin=0.5%) @ 0.50% loss → APY_USD: 18.6%, Trades: 13, Rejected: 0B/0S
  [169/480] GreedyMom(p=20, patience=144, margin=0.5%) @ 1.00% loss → APY_USD: 4.2%, Trades: 3, Rejected: 0B/0S
  [170/480] GreedyMom(p=20, patience=144, margin=0.5%) @ 2.50% loss → APY_USD: -1.0%, Trades: 17, Rejected: 0B/0S
  [171/480] GreedyMom(p=20, patience=144, margin=0.75%) @ 0.00% loss → APY_USD: 27.4%, Trades: 13, Rejected: 0B/0S
  [172/480] GreedyMom(p=20, patience=144, margin=0.75%) @ 0.10% loss → APY_USD: 27.4%, Trades: 13, Rejected: 0B/0S
  [173/480] GreedyMom(p=20, patience=144, margin=0.75%) @ 0.50% loss → APY_USD: 27.4%, Trades: 13, Rejected: 0B/0S
  [174/480] GreedyMom(p=20, patience=144, margin=0.75%) @ 1.00% loss → APY_USD: 4.2%, Trades: 3, Rejected: 0B/0S
  [175/480] GreedyMom(p=20, patience=144, margin=0.75%) @ 2.50% loss → APY_USD: 4.2%, Trades: 3, Rejected: 0B/0S
  [176/480] GreedyMom(p=20, patience=144, margin=1.0%) @ 0.00% loss → APY_USD: 28.8%, Trades: 12, Rejected: 0B/0S
  [177/480] GreedyMom(p=20, patience=144, margin=1.0%) @ 0.10% loss → APY_USD: 28.8%, Trades: 12, Rejected: 0B/0S
  [178/480] GreedyMom(p=20, patience=144, margin=1.0%) @ 0.50% loss → APY_USD: 28.8%, Trades: 12, Rejected: 0B/0S
  [179/480] GreedyMom(p=20, patience=144, margin=1.0%) @ 1.00% loss → APY_USD: 28.8%, Trades: 12, Rejected: 0B/0S
  [180/480] GreedyMom(p=20, patience=144, margin=1.0%) @ 2.50% loss → APY_USD: 4.2%, Trades: 3, Rejected: 0B/0S
  [181/480] GreedyMom(p=20, patience=288, margin=0.3%) @ 0.00% loss → APY_USD: 16.3%, Trades: 13, Rejected: 0B/0S
  [182/480] GreedyMom(p=20, patience=288, margin=0.3%) @ 0.10% loss → APY_USD: 16.3%, Trades: 13, Rejected: 0B/0S
  [183/480] GreedyMom(p=20, patience=288, margin=0.3%) @ 0.50% loss → APY_USD: 4.2%, Trades: 3, Rejected: 0B/0S
  [184/480] GreedyMom(p=20, patience=288, margin=0.3%) @ 1.00% loss → APY_USD: 4.2%, Trades: 3, Rejected: 0B/0S
  [185/480] GreedyMom(p=20, patience=288, margin=0.3%) @ 2.50% loss → APY_USD: -10.2%, Trades: 9, Rejected: 0B/0S
  [186/480] GreedyMom(p=20, patience=288, margin=0.5%) @ 0.00% loss → APY_USD: 18.6%, Trades: 13, Rejected: 0B/0S
  [187/480] GreedyMom(p=20, patience=288, margin=0.5%) @ 0.10% loss → APY_USD: 18.6%, Trades: 13, Rejected: 0B/0S
